"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All states (including the District of Columbia) are required to provide data to The Centers for Medicare & Medicaid Services (CMS) on a range of indicators related to key application, eligibility, and enrollment processes within the state Medicaid and Children’s Health Insurance Programs (CHIP). These data reflect enrollment activity for all populations receiving comprehensive Medicaid and CHIP benefits in all states, as well as state program performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://data.medicaid.gov/Enrollment/State-Medicaid-and-CHIP-Applications-Eligibility-D/n5ce-jxme/data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total New Determinations,Total New Determinations - footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
VA,Virginia,11/1/2018,N,P,Y,"31,695",Includes Renewals and/or Redeterminations,N/A,,"31,695",Includes Renewals and/or Redeterminations,"30,772",Includes Renewals and/or Redeterminations,"1,107",Includes Renewals and/or Redeterminations,"31,879",Includes Renewals and/or Redeterminations,690295,,"1,036,625",,35.7449,-86.7489,"(35.7449, -86.7489)",897529,,139096,
WA,Washington,11/1/2018,Y,P,Y,"70,063",,132193,,"202,256",,"111,972",,"2,728",,"114,700",,830385,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),"1,734,705",Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1665782,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),68923,
WV,West Virginia,11/1/2018,Y,P,Y,"19,948",,N/A,,"19,948",,"11,072",,622,,"11,694",,216125,,"535,206",,18.0001,-64.8199,"(18.0001, -64.8199)",501745,,33461,
WI,Wisconsin,11/1/2018,N,P,Y,"24,394",Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,"24,394",Does Not Include All Applications for Limited-Benefit Programs,"18,857","Count is of Households, Not Individuals","1,431",,"20,288",,477224,,"1,018,153",,37.768,-78.2057,"(37.768, -78.2057)",947027,,71126,
WY,Wyoming,11/1/2018,N,P,Y,"1,281",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,"1,281",Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,640,,24,,664,,38397,,"57,372",,44.0407,-72.7093,"(44.0407, -72.7093)",52803,,4569,
AL,Alabama,10/1/2018,N,P,N,"22,130",,N/A,,"22,130",,"16,776",,"2,307",,"19,083",,636819,,"900,823",,32.799,-86.8073,"(32.799, -86.8073)",731879,,168944,
AL,Alabama,10/1/2018,N,U,Y,"22,130",,N/A,,"22,130",,"16,776",,"2,307",,"19,083",,653557,,"916,053",,32.799,-86.8073,"(32.799, -86.8073)",743052,,173001,
AK,Alaska,10/1/2018,Y,P,N,"3,797",Includes Renewals and/or Redeterminations,N/A,,"3,797",Includes Renewals and/or Redeterminations,"2,883",Includes Renewals and/or Redeterminations; Includes CHIP,143,,"3,026",Includes Renewals and/or Redeterminations,94422,,"210,276",,61.385,-152.2683,"(61.385, -152.2683)",195891,,14385,
AK,Alaska,10/1/2018,Y,U,Y,"3,797",Includes Renewals and/or Redeterminations,N/A,,"3,797",Includes Renewals and/or Redeterminations,"2,883",Includes Renewals and/or Redeterminations; Includes CHIP,143,,"3,026",Includes Renewals and/or Redeterminations,94829,,"211,746",,61.385,-152.2683,"(61.385, -152.2683)",197355,,14391,
AZ,Arizona,10/1/2018,Y,P,N,"111,445",,N/A,,"111,445",,,,,,,,,,"1,693,508",,14.2417,-170.7197,"(14.2417, -170.7197)",1591124,,102384,
